"date","version_id","ad_id","page_id","page_name","status","first_observed_by_us","meta_active_since","days_observed_running","creative_hash","duplicate_group","landing_url","notes"
"2026-06-17","legacy-before-version-tracking","918366711103396","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","efe51e3d","efe51e3d","https://s.shopee.com.my/8pfWAV5KuP",""
"2026-06-17","legacy-before-version-tracking","1460825648677085","f60d442d","Media Masta","Active","2026-06-17","2025-08-11","309","2440953e","2440953e","https://s.shopee.com.my/gEh4T9a6s",""
"2026-06-17","legacy-before-version-tracking","743396225118465","f60d442d","Media Masta","Active","2026-06-17","2025-08-11","309","5efcda00","5efcda00","https://s.shopee.com.my/2qJT5JbzGX",""
"2026-06-17","legacy-before-version-tracking","1227533652826356","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","8020d935","8020d935","https://s.shopee.com.my/9UunVFRdbk",""
"2026-06-17","legacy-before-version-tracking","2694577297564281","216afa76","See summary details Media Masta","Active","2026-06-17","2026-02-13","123","f63e85e1","f63e85e1","https://s.shopee.com.my/7AY5d7DhWo",""
"2026-06-17","legacy-before-version-tracking","739765638694698","f60d442d","Media Masta","Active","2026-06-17","2025-08-11","309","8cbf2e32","8cbf2e32","https://s.shopee.com.my/4VRKjGcoAV",""
"2026-06-17","legacy-before-version-tracking","1531213451192666","f60d442d","Media Masta","Active","2026-06-17","2025-07-28","323","a069a8a2","a069a8a2","https://s.shopee.com.my/6fWI6LxKAU",""
"2026-06-17","legacy-before-version-tracking","1264121828417503","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","e61ed036","e61ed036","https://s.shopee.com.my/AA9deTnGws",""
"2026-06-17","legacy-before-version-tracking","911410805088019","216afa76","See summary details Media Masta","Active","2026-06-17","2026-03-17","91","c93e4592","c93e4592","https://s.shopee.com.my/2LSIAmeVSN",""
"2026-06-17","legacy-before-version-tracking","903235739175341","216afa76","See summary details Media Masta","Active","2026-06-17","2026-03-17","91","70ee365d","70ee365d","https://s.shopee.com.my/2B8PVeEV4h",""
"2026-06-17","legacy-before-version-tracking","1470407461417707","216afa76","See summary details Media Masta","Active","2026-06-17","2026-03-17","91","f6a8b04c","f6a8b04c","https://s.shopee.com.my/8KjLo9Rgo9",""
"2026-06-17","legacy-before-version-tracking","1225254576042501","216afa76","See summary details Media Masta","Active","2026-06-17","2026-03-27","81","f3acea29","f3acea29","https://s.shopee.com.my/4LByW9dhla",""
